on_ignored_nl UNK on_const on_nl UNK on_const on_op on_const on_nl UNK on_tstring_beg on_tstring_content on_tstring_end on_nl UNK on_symbeg name on_comma on_ignored_nl on_symbeg # frozen_string_literal: true
def UNK on_lparen legacy_name on_op on_const on_comma legacy_email on_op on_const on_comma legacy_uid on_op on_const on_comma on_label nil on_comma on_label nil # rubocop:disable Metrics/ParameterLists
UNK UNK on_op keywords on_op on_ignored_nl keywords on_op on_symbeg name if legacy_name on_op on_const on_nl keywords on_op on_symbeg email if # rubocop:enable Metrics/ParameterLists
def UNK on_lparen legacy_name on_op on_const on_comma legacy_email on_op on_const on_comma UNK on_op on_const on_comma legacy_uid on_op on_const on_comma on_label # rubocop:disable Metrics/ParameterLists
UNK UNK on_op keywords on_op on_ignored_nl keywords on_op on_symbeg name if legacy_name on_op on_const on_nl keywords on_op on_symbeg email if # rubocop:enable Metrics/ParameterLists
def UNK on_lparen legacy_name on_op on_const on_comma UNK on_op on_const on_comma legacy_uid on_op on_const on_comma on_label nil on_comma on_label nil # rubocop:disable Metrics/ParameterLists
UNK UNK on_op keywords on_op on_ignored_nl keywords on_op on_symbeg name if legacy_name on_op on_const on_nl keywords on_op on_symbeg UNK if # rubocop:enable Metrics/ParameterLists
def UNK on_lparen legacy_name on_op on_const on_comma legacy_email on_op on_const on_comma legacy_uid on_op on_const on_comma on_label nil on_comma on_label nil # rubocop:disable Metrics/ParameterLists
UNK UNK on_op keywords on_op on_ignored_nl keywords on_op on_symbeg name if legacy_name on_op on_const on_nl keywords on_op on_symbeg email if # rubocop:enable Metrics/ParameterLists
def UNK on_lparen legacy_name on_op on_const on_comma legacy_email on_op on_const on_comma legacy_uid on_op on_const on_comma on_label nil on_comma on_label nil # rubocop:disable Metrics/ParameterLists
UNK UNK on_op keywords on_op on_ignored_nl keywords on_op on_symbeg name if legacy_name on_op on_const on_nl keywords on_op on_symbeg email if # rubocop:enable Metrics/ParameterLists
def UNK on_lparen on_label nil on_comma on_label nil on_comma on_label nil on_rparen on_ignored_nl uid on_op on_tstring_beg on_embexpr_beg on_const on_period number ## # Generate a mock Omniauth response from Apple # # @param name [String] A specific name to return in the response # @param email [String] A specific email to return in the response # @param uid [String] A specific UID to return in the response # # @return [Hash] An auth hash in the format provided by omniauth-apple
