UNK on_const on_op on_const on_nl UNK on_tstring_beg on_tstring_content on_tstring_end on_nl on_ignored_nl UNK on_symbeg app on_comma on_label UNK on_comma on_label on_tstring_beg # @since 1.1.0 # @api private
def UNK on_lparen on_label on_comma on_op UNK on_rparen app on_op on_const on_op on_const on_period UNK on_lparen app on_rparen on_nl context # @since 1.1.0 # @api private
app on_op on_const on_op on_const on_period UNK on_lparen app on_rparen on_nl context on_op on_const on_period UNK on_lparen on_label app on_comma # rubocop:disable Metrics/MethodLength
def UNK on_lparen context on_rparen on_ignored_nl UNK UNK project on_period UNK on_lparen context on_rparen on_nl on_ignored_nl UNK on_op project on_period # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl content on_op on_tstring_beg on_embexpr_beg context on_period app on_period UNK on_embexpr_end on_tstring_content on_tstring_end on_nl destination # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl content on_op on_tstring_beg on_embexpr_beg context on_period app on_period UNK on_embexpr_end on_tstring_content on_tstring_end on_nl destination # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl content on_op on_tstring_beg on_tstring_content on_embexpr_beg context on_period app on_period UNK on_embexpr_end on_tstring_content on_tstring_end on_nl # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl content on_op on_tstring_beg on_tstring_content on_embexpr_beg context on_period app on_embexpr_end on_tstring_content on_tstring_end on_nl destination on_op # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl destination on_op project on_period UNK on_lparen context on_rparen on_nl UNK UNK files on_period UNK # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl destination on_op project on_period UNK on_lparen context on_rparen on_nl UNK UNK files on_period UNK # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl destination on_op project on_period UNK on_lparen context on_rparen on_nl on_ignored_nl files on_period UNK on_lparen # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl destination on_op project on_period app on_lparen context on_rparen on_nl on_ignored_nl files on_period UNK on_lparen # @since 1.1.0 # @api private
def UNK on_lparen context on_rparen on_ignored_nl content on_op on_tstring_beg on_tstring_content on_embexpr_beg context on_period app on_period UNK on_embexpr_end on_tstring_content on_tstring_end on_nl # @since 1.1.0 # @api private
def UNK on_lparen UNK on_comma UNK on_rparen on_ignored_nl content on_op on_op on_const on_period UNK on_lparen UNK on_rparen on_nl UNK on_op # @since 1.1.0 # @api private
